department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,awards_won?,avg_training_score,is_promoted
5,26,0,0,1,1,0.375,5.0,0,1,0,0,1
5,30,0,1,1,1,0.325,5.0,2,1,0,0,1
5,33,2,1,0,1,0.75,4.0,3,1,0,0,1
4,28,0,1,0,1,0.175,3.0,0,1,1,1,1
5,28,0,1,1,1,0.175,3.0,0,0,0,2,1
2,11,0,1,0,1,0.25,3.0,2,1,0,3,1
0,28,2,1,0,1,0.35,5.0,2,1,0,3,1
5,21,2,1,1,1,0.45,4.0,0,1,0,0,1
5,28,0,1,1,1,0.25,3.0,0,0,0,1,1
8,26,0,1,0,1,0.225,3.0,0,0,0,2,1
3,10,2,0,1,1,0.55,5.0,3,1,0,1,1
1,26,2,1,1,1,0.3,5.0,0,1,0,2,1
3,20,0,1,0,1,0.275,5.0,1,1,0,2,1
3,23,0,1,0,1,0.375,4.0,2,1,0,1,1
5,26,0,0,0,1,0.5,3.0,0,1,0,3,1
0,21,0,1,0,1,0.175,5.0,0,0,0,3,1
1,29,0,0,0,1,0.175,4.0,1,1,0,2,1
5,31,2,1,0,1,0.35,5.0,2,1,0,0,1
1,1,2,1,1,1,0.425,5.0,0,0,1,3,1
2,28,0,1,0,1,0.3,3.0,3,0,0,3,1
0,8,0,0,0,2,0.35,5.0,3,0,0,3,1
1,21,0,1,1,1,0.125,5.0,0,1,0,2,1
3,23,2,1,0,1,0.575,3.0,2,1,0,1,1
5,32,0,1,0,1,0.35,4.0,2,1,0,0,1
5,29,2,0,1,1,0.35,4.0,1,1,1,3,1
3,23,2,0,0,1,0.45,5.0,0,1,1,3,1
3,28,0,1,1,2,0.425,2.0,1,1,0,1,1
1,21,0,0,0,1,0.225,4.0,0,1,0,3,1
2,12,2,1,0,1,0.5,5.0,1,0,1,3,1
3,28,2,1,0,1,0.35,3.0,0,0,0,2,1
5,21,0,1,0,1,0.05,5.0,0,0,0,2,1
1,21,0,0,0,2,0.15,5.0,0,1,0,2,1
1,15,0,0,0,1,0.3,5.0,1,0,1,3,1
6,28,2,1,0,1,0.25,4.0,0,1,0,3,1
5,14,0,1,0,1,0.625,4.0,3,0,0,2,1
5,21,0,0,0,1,0.35,5.0,1,0,0,1,1
5,30,0,1,0,1,0.1,2.0,0,1,0,1,1
5,25,2,1,0,1,0.425,3.0,3,1,0,0,1
3,17,0,1,0,1,0.375,5.0,3,1,0,1,1
0,23,0,0,0,1,0.325,3.0,1,1,0,2,1
5,26,0,0,1,1,0.3,5.0,3,1,0,0,1
3,26,0,0,0,1,0.625,3.0,1,0,1,2,1
3,28,2,0,1,1,0.7,3.0,3,0,0,2,1
1,32,2,1,0,1,0.625,3.0,3,0,0,3,1
3,28,2,1,0,3,0.3,3.0,1,1,0,2,1
3,26,2,0,1,1,0.325,5.0,2,0,0,2,1
5,15,0,1,1,1,0.375,4.0,3,1,0,0,1
3,26,0,1,0,1,0.325,5.0,3,1,0,1,1
5,21,0,0,1,1,0.35,2.0,2,1,0,0,1
2,30,0,1,0,1,0.4,5.0,0,1,0,3,1
1,29,2,1,0,2,0.375,5.0,2,1,0,3,1
6,6,0,1,1,1,0.25,5.0,0,0,0,3,1
1,14,0,1,0,1,0.2,3.0,0,0,0,3,1
6,26,0,1,1,2,0.3,5.0,0,1,0,3,1
5,14,0,1,1,1,0.5,3.0,3,1,0,1,1
3,21,1,0,1,1,0.1,3.0,0,0,0,2,1
5,21,2,0,0,1,0.475,1.0,3,1,0,1,1
5,21,0,1,0,1,0.1,3.0,0,1,1,3,1
5,21,0,1,0,1,0.675,4.0,3,1,0,0,1
3,28,0,1,0,1,0.3,4.0,1,1,1,1,1
5,17,2,1,0,1,0.325,4.0,0,1,0,3,1
0,5,0,0,1,4,0.3,5.0,3,0,0,3,1
1,1,0,1,0,1,0.225,5.0,1,0,0,3,1
0,21,0,1,1,1,0.15,3.0,0,1,1,3,1
3,33,0,1,0,2,0.225,5.0,1,1,0,2,1
2,31,0,1,0,1,0.25,3.0,2,1,0,3,1
5,26,0,1,0,1,0.375,5.0,0,1,1,0,1
0,26,0,1,1,1,0.25,3.0,0,1,0,3,1
2,28,0,0,1,2,0.175,3.0,0,1,0,3,1
2,11,0,1,0,2,0.2,3.0,0,1,0,3,1
3,33,2,0,1,1,0.425,5.0,3,1,1,3,1
4,30,2,1,0,1,0.325,3.0,0,1,1,1,1
0,26,2,0,0,1,0.475,4.0,1,1,0,3,1
7,14,0,1,0,1,0.2,2.0,0,1,0,1,1
3,26,0,1,1,1,0.325,3.0,1,0,0,2,1
3,5,0,1,0,1,0.4,4.0,0,1,0,2,1
2,28,0,1,2,1,0.3,3.0,0,1,1,3,1
0,14,0,1,0,1,0.375,1.0,2,1,0,3,1
2,28,0,1,0,1,0.35,3.0,0,0,0,3,1
5,33,0,0,0,1,0.25,3.0,3,1,0,0,1
1,12,0,0,0,1,0.325,2.0,0,1,0,2,1
1,26,0,0,0,1,0.225,5.0,1,1,0,2,1
5,26,2,1,1,1,0.55,5.0,3,1,0,1,1
1,32,2,0,0,1,0.4,3.0,1,0,0,3,1
5,30,0,1,0,1,0.125,4.0,0,1,0,2,1
3,20,0,0,0,2,0.55,5.0,1,1,0,2,1
0,32,0,1,0,1,0.4,4.0,1,1,0,3,1
0,33,0,1,0,1,0.25,5.0,0,1,0,3,1
5,30,2,1,0,1,0.4,3.0,0,1,0,0,1
5,27,0,1,0,1,0.3,5.0,1,1,0,0,1
3,33,0,0,1,1,0.475,5.0,3,1,0,2,1
2,28,0,1,0,1,0.2,3.0,0,1,0,3,1
5,28,0,1,2,1,0.225,3.0,0,1,0,1,1
3,28,0,1,1,1,0.175,5.0,1,0,0,2,1
0,26,2,0,0,1,0.525,4.0,3,1,1,3,1
2,26,0,1,1,2,0.225,5.0,0,0,0,3,1
5,20,0,1,0,1,0.5,3.0,3,1,0,0,1
3,33,2,1,1,1,0.6,3.0,3,1,0,2,1
0,8,0,0,1,1,0.1,3.0,0,0,0,3,1
0,30,0,1,0,1,0.2,5.0,1,0,1,3,1
3,28,0,0,1,3,0.4,2.0,1,0,0,3,1
6,33,2,1,0,1,0.55,4.0,3,1,0,3,1
3,20,2,1,1,2,0.6,5.0,3,1,0,3,1
2,28,0,0,1,1,0.225,4.0,1,1,0,3,1
1,28,0,1,1,1,0.15,3.0,0,0,0,3,1
5,23,2,0,1,1,0.5,3.0,1,1,0,0,1
0,32,0,0,0,1,0.3,5.0,1,1,0,3,1
7,28,0,1,1,1,0.2,3.0,0,1,0,0,1
1,23,2,0,0,1,0.4,3.0,2,1,0,2,1
5,29,0,1,1,1,0.375,3.0,3,1,0,0,1
3,23,0,1,0,1,0.35,3.0,0,0,0,2,1
2,20,0,1,0,1,0.425,5.0,3,0,1,3,1
1,16,0,0,0,1,0.425,5.0,1,0,0,3,1
2,8,2,1,1,1,0.425,2.0,2,0,1,3,1
0,28,2,1,2,3,0.4,3.0,2,1,0,3,1
1,28,0,0,0,1,0.35,5.0,0,1,0,2,1
0,23,0,1,1,1,0.45,5.0,1,0,0,3,1
5,9,0,1,0,1,0.3,3.0,2,1,0,0,1
2,30,0,1,0,1,0.35,3.0,2,1,0,3,1
6,14,0,1,1,2,0.5,3.0,0,1,1,3,1
5,26,0,1,0,1,0.3,3.0,1,0,0,2,1
1,26,0,1,0,1,0.4,3.0,1,1,0,2,1
5,23,0,1,0,1,0.85,5.0,3,1,0,0,1
0,28,0,0,0,1,0.15,5.0,0,1,0,3,1
1,32,0,0,0,1,0.15,5.0,1,0,0,3,1
5,27,0,1,0,1,0.35,4.0,3,1,0,0,1
0,21,1,1,0,3,0.075,3.0,0,0,0,3,1
0,21,0,1,0,1,0.25,5.0,2,0,1,3,1
5,21,0,1,0,1,0.4,4.0,3,1,0,0,1
0,19,0,0,1,1,0.2,4.0,0,1,0,3,1
5,7,0,1,0,1,0.7,3.0,1,1,0,0,1
3,26,0,0,1,1,0.3,4.0,1,1,0,3,1
